1*Novak Djokovici*Serbia
2*Andy Murray*UK
3*Stan Wawrinka*Elvetia
4*Roger Federer*Elvetia
5*Rafael Nadal*Spania
6*Milos Raonic*Canada
7*Kei Nishikori*Japonia
8*Thomas Berdych*Cehia
9*Marin Cilic*Croatia
10*Dominic Thiem*Austria
11*Jo-Wilfried Tsonga*Franta
12*Gael Monfils*Franta
13*David Ferrer*Spania
14*David Goffin*Belgia
15*Richard Gasquet*Franta
16*Nick Kyrgios*Australia
17*Roberto Bautista-Agut*Spania
18*Feliciano Lopez*Spania
19*Bernard Tomic*Australia
20*Pablo Cuevas*Uruguay
21*John Isner*SUA
22*Steve Johnson*SUA
23*Ivo Karlovic*Croatia
24*Grigor Dimitrov*Bulgaria
25*Lucas Pouille*Franta
26*Philipp Kohlscreiber*Germania
27*Jack Sock*SUA
28*Alexander Zverev*Germania
29*Martin Klizan*Slovacia
30*Sam Querry*SUA
31*Gilles Simon*Franta
32*Viktor Troicki*Serbia
33*Albert Ramos*Spania
34*Benoit Paire*Franta
35*Kevin Anderson*Africa de Sud
36*Joao Sousa*Portugalia
37*Giles Muller*Luxemburg
38*Fabio Fognini*Italia
39*Pablo Carreno-Busta*Spania
40*Paolo Lorenzi*Italia
41*Borna Coric*Croatia
42*Nicolas Mahut*Franta
43*Federico Delbonis*Argentina
44*Marcos Baghdatis*Cipru
45*Marcel Pujol-Granollers*Spania
46*Fernando Verdasco*Spania
47*Andrey Kuznetsov*Rusia
48*Nicolas Almagro*Spania
49*Jiri Vesely*Cehia
50*Guillermo Garcia-Lopez*Spania
51*Guido Pella*Argentina
52*Stephane Robert*Franta
53*Harry Taylor-Fritz*SUA
54*Adrian Mannarino*Franta
55*Jeremy Chardy*Franta
56*Donald Young*SUA
57*Alexander Dolgopolov*Ucraina
58*Florian Mayer*Germania
59*Dusan Lajovic*Serbia
60*Gastao Elias*Portugalia
61*Mikhail Youzhny*Rusia
62*robin Haase*Olanda
63*Illya Marchenko*Ucraina
64*Daniel Evans*UK
65*Thomas Belluci*Brazilia
66*John Millman*Australia
67*Mikhail Kukuskin*Kazakhstan
68*Malek Jaziri*Tunisia
69*Sebastian-Diego Schwartzman*Argentina
70*Paul-Henri Mathieu*Franta
71*Horacio Zeballos*Argentina
72*Damir Dzumhur*Boznia-Hertegovina
73*Yen-Hsun Lu*Taiwan
74*Ivan Dodig*Croatia
75*Inigo Cervantes-Huegun*Spania
76*Carlos Berlocq*Argentina
77*Aljaz Bedene*UK
78*Jan-Lennard Struff*Germania
79*Evgeny Donskoy*Rusia
80*Dudi Sela*Israel
81*Lukas Rosol*Cehia
82*Yuichi Sugita*Japonia
83*Victor Estrella*Republica Dominicana
84*Kyle Edmund*UK
85*Yoshihito Nishioka*Japonia
86*Dustin Brown*Germania
87*Andreas Seppi*Italia
88*Gerald Melzer*Austria
89*Ricardas Berankis*Lituania
90*Facundo Bagnis*Argentina
91*Jordan Thompson*Australia
92*Sergiy Stakhovsky*Ucraina
93*Konstantin Kravchuk*Rusia
94*Juan Monaco*Argentina
95*Karen Khachanov*Rusia
96*Benjamin Becker*Germania
97*Radu Albot*Moldova
98*Thiago Monteiro*Brazilia
99*Lukas Lacko*Slovacia
100*Ernests Gulbis*Letonia
101*Taro Daniel*Japonia
102*Nikolz Basilashvili*Georgia
103*Roberto Baena-Carballes*Spania
104*Rajeev Ram*SUA
105*Teimuraz Gabashvili*Rusia
106*Steve Darcis*Belgia
107*Denis Istomin*Uzbekistan
108*Rogerio Da-Silva*Brazilia
109*Renzo Olivo*Argentina
110*Igor Sijsling*Olanda
111*Thomas Fabbiano*Italia
112*Adam Pavlaseck*Cehia
113*Radek Stepanek*Cehia
114*Pierre-Hugues Herbert*Franta
115*Bjorn Fratangelo*SUA
116*Tim Smyczek*SUA
117*Leonardo Mayer*Argentina
118*Daniel Gimeno-Traver*Spania
119*Joao Souzap*Brazilia
120*Ryan Harrison*SUA
121*Dennis Novikov*SUA
122*Jared Donaldson*SUA
123*Vasek Pospisil*Canada
124*Andrej Martin*Slovacia
125*Frances Tiafoe*SUA
126*Jozef Kovalik*Slovacia
127*Mischa Zverev*Germania
128*Denis Kudla*SUA

